疾病名称,病因
狂犬病,"狂犬病是怎么传染的？
大部分的人类狂犬病，都是被感染了狂犬病毒的动物咬伤或舔伤，且伤口接触到动物唾液所致
[1,2]
。
少数是由可在宰杀病犬、剥皮、切割过程中被感染
[1,2]
。
极少部分的人狂犬病是由吸入蝙蝠洞穴内的病毒气溶胶，实验室处理含有高浓度的狂犬病病毒材料时操作不慎吸入气溶胶，或者移植狂犬病患者的器官导致的。
狂犬病是由哪些动物传染的？
主要包括犬科、猫科及翼手目动物。理论上所有哺乳动物都可以感染和传染狂犬病，但不同物种的易感染性有差异。
在狂犬病流行地区，99% 以上的人类狂犬病是由犬传播的狂犬病病毒造成的，极少数是由野生动物传播的，例如狐狸、狼、豺、蝙蝠、浣熊、臭鼬和猫鼬
[4]
。
我国绝大多数人的狂犬病为犬伤所致，偶有猫和其他动物所伤的报道。
狂犬病的主要传染源为什么是狗？
因为世界各地都有养狗的习惯，并且在动物中，狗与人的接触最为密切，同时，狗的流动性大，容易产生攻击行为（咬人），所以病犬就成了狂犬病流行中的主要传染源。
狂犬病会不会人传人？
不会，一般来说狂犬病患者不是传染源，不形成人与人之间的传播
[3]
。目前还没有狂犬病患者传染医护人员或家庭成员的报道。人与人的一般接触不会传染狂犬病。只有以下几种情况，理论上可能出现人与人之间的传播：
发病的狂犬病患者咬伤健康人，或其唾液接触到健康人破损的皮肤、黏膜；
狂犬病患者的器官、组织（如角膜、肾）移植给健康人
[3]
。
狂犬病病毒能否通过胎盘或乳汁传播？
目前缺乏狂犬病病毒通过胎盘传给胎儿的证据，但有一例可能的围产期狂犬病病例报道。
世界卫生组织认为，基于病理学和流行病学证据，母乳喂养不可能发生狂犬病。
狂犬病疫苗为什么少数人打了也会发病死亡？
少数人被咬伤后打了疫苗也患病死亡，可能与以下因素有关：
没有及时、有效、正确处理伤口。
暴露后预防不及时。
没有按要求使用抗狂犬病血清／免疫球蛋白，或者使用时间太晚、使用不规范。
疫苗接种方法不当。
疫苗不能保证 100% 有效，可能是疫苗质量有问题。
免疫功能受损或免疫功能缺陷，或接种后使用免疫抑制剂，影响了疫苗的免疫效果。"
乙型肝炎,"乙型肝炎的病因是什么？
病因就是感染了乙型肝炎病毒（HBV）。
乙型肝炎会传染吗？
会传染，传染源乙肝患者和无症状的乙肝病毒携带者。
传染性
主要取决于患者血液中病毒含量
，含量越高，传染性越高
[1]
。
乙型肝炎的传染途径有哪些？
血液、体液传播
[1]
：乙肝病毒存在于感染者的血液及其他体液中。病毒可通过输血、使用消毒不充分的医疗器具、共用剃须刀、牙刷等途径进入人体继而发生感染。
母婴传播
[1]
：可分为宫内感染、围生期感染、分娩后感染。围生期是指自怀孕第 28 周到出生后一周这段时期，包括分娩过程，病毒在此阶段由母亲的血液、羊水或阴道分泌物从胎儿破损的皮肤进入体内，造成围生期感染，为母婴传播的主要方式。病毒也可因胎盘剥离在宫内传染给胎儿，或出生后母婴亲密接触传播。
性接触传播
[1]
: 乙肝病毒广泛存在于精液、阴道分泌物等体液中，所以与患者进行性行为时有可能感染乙肝，当口腔和肛门存在破损伤口或溃疡时也可能通过口交和肛交传播。
乙型肝炎哪些人容易感染？
乙型肝炎病毒的易感人群有以下一些
[2,3]
：
无乙肝表面抗体的医务人员、经常接触血液的人员、托幼机构工作人员；
接受器官移植患者、经常接受输血或血液制品者；
免疫力功能低下者、乙型肝炎表面抗原（HBsAg）阳性者的家庭成员；
有同性性伴侣者、有多个性伴侣者、静脉内注射毒品者等。
和慢性乙型肝炎病人共同进餐、工作会不会被传染？
不会
[2,3]
。
因为乙肝病毒不会经呼吸道和消化道传播，日常学习、工作或生活接触（如使用同一办公室工作、握手、拥抱、同住一宿舍、同一餐厅用餐和共用厕所等），无血液暴露的接触不会传染乙肝。
乙型肝炎会不会通过蚊虫叮咬等传播？
暂无证据表明乙型肝炎会通过蚊虫叮咬传播
[2]
。
临床医学、流行病学和实验研究结果表明，到目前为止，未发现乙肝病毒能经吸血昆虫（蚊子和臭虫等）传播的情况，因此可以说乙肝不会通过蚊虫叮咬传播。
乙型肝炎会遗传吗？
乙肝不会遗传
[4]
。
男性乙肝患者不遗传给孩子，女性乙肝患者的孩子出生时可能有乙肝，那是 HBV 通过垂直传播的方式传染给孩子的，不属于遗传。
因此当女性有乙肝时，在生育时应做好必要的措施，避免新生儿发生感染。"
不明原因发热,"不明原因发热的可能病因有哪些？
不明原因发热（FUO）的具体病因虽无法明确，但可能的病因还是有章可循的，大致可分为以下几类可能的病因：
感染
：各种病原体感染是最常见导致 FUO 的原因。需注意深在部位的感染灶，比如腹腔、盆腔、颅内、感染性心内膜炎、牙源性、肾盂肾炎、鼻窦炎。注意常见易忽视的病原体，比如结核、非结核分支杆菌、李斯特菌、布鲁菌、军团菌、伤寒菌、奴卡菌。少见的病原体有：Q 热病、巴贝虫病、莱姆病、无形体病 / 埃里希体病等。
非感染性炎症病
：常见的有系统性红斑狼疮、巨细胞动脉炎 / 风湿性多肌痛、类风湿关节炎、系统性血管炎、炎症性肠病；少见的有成人 Still 病、家族性地中海热（Familial Mediterraneanfever, FMF）、高免疫球蛋白 D 综合征、Blau 综合征等。
肿瘤
：常见的有淋巴瘤、前白血病、肾癌、胰腺癌；少见的系统性肥大细胞增生症、心房粘液瘤等。
其他
：亚急性甲状腺炎、伪装热、肾上腺功能不全、Mollaret 动脉综合征（无菌性脑膜炎）、Caroli 病、婴儿骨皮质增生症（Caffey 病）等。"
带状疱疹,"带状疱疹是如何产生的？
多数患者（约 70%）在幼年时发过水痘，另约 30% 患者感染过水痘-带状疱疹病毒却未发过水痘，这在医学上叫做「隐性感染」。
这种病毒可以进入感觉神经末梢，然后沿感觉神经「向上走」（上行），到达感觉神经节或神经根并潜伏下来。
水痘治愈后，仍有部分潜伏在感觉神经节（神经细胞聚体的地方）内的病毒以休眠状态存在于体内。
平时因为人体有较好的抵抗力，休眠状态的病毒不易被激活。
但当人体抵抗力下降时，病毒可在神经节或神经根内被激活并再次生长繁殖，破坏人体的神经，导致剧烈的神经痛；并沿神经纤维移动到皮肤，使受侵犯的神经和皮肤产生强烈的炎症，产生带状疱疹
[4]
。
带状疱疹常见于哪些人？
中老年人：由于年龄的增大，身体的免疫机能逐渐退化，中老年人相比于年轻人更容易得带状疱疹。
免疫功能障碍者：如患有白血病、艾滋病、癌症等疾病者或长期服用免疫抑制剂、糖皮质激素者，他们的免疫力往往低于健康人群，更容易得带状疱疹。
生活不健康者：如长期熬夜、过度疲劳、压力较大的人群，他们由于不健康的生活方式导致抵抗力下降，从而更容易得带状疱疹。
带状疱疹会传染吗？是怎么传染的？
带状疱疹具有一定的传染性，其病原体是水痘-带状疱疹病毒，一般不是由于外部感染导致的。而是由于初次感染该种病毒患水痘后，部分病毒潜伏于体内，当抵抗力下降时，这部分病毒再次被激活所导致。
水痘-带状疱疹病毒主要通过直接接触传播或呼吸道飞沫传播
[2]
，具体如下：
直接接触传播：若直接触碰水痘或带状疱疹患者的水疱，尤其是破损、渗水的地方，有可能会感染上该病毒。
呼吸道飞沫传播：若与病毒感染者或携带者面对面交流，该病毒可能经过呼吸道飞沫传播出去。"
尖锐湿疣,"尖锐湿疣是什么引起的？
尖锐湿疣是人乳头瘤病毒（HPV）引起的，HPV是 DNA 病毒，没有囊膜，有高度的宿主选择性和组织特异性（虽然在人和动物中广泛分布，但只有人类会被感染），能引起人体皮肤和黏膜的鳞状上皮增殖形成皮表赘生物。
目前科学家们已经分离出超过160 多种 HPV 亚型
[5]
。其中 HPV 16、18、31、33 等为高危型 HPV 病毒，和一些较重的癌前病变及侵袭性癌有关。而 HPV 6、11、42、43 等为低危型 HPV 病毒，与尖锐湿疣及较轻癌前病变相关
[1]
。
尖锐湿疣是怎么传染的？
尖锐湿疣主要的传播方式为性接触传播。尖锐湿疣患者病损区皮肤排出人乳头瘤病毒，性接触时相互摩擦，使皮肤黏膜产生微裂隙让病毒进入皮肤而染病。
此外，尖锐湿疣还可以通过一些其他的途径传播，比如：
母婴传播，即生殖道感染 HPV的母亲通过胎盘、阴道分娩等途径传播给新生儿。
口、手接触已发生感染的生殖器也可传染 HPV
[1]
。
一些共用的物品，如浴盆，毛巾等也可能造成传播。共用物品传播的关键在于被传染者皮肤黏膜有没有破口，如果没有，间接被传染的几率非常小。
尖锐湿疣患者与正常人发生了关系，无症状是不是表示其没被传染上？
不是。
研究显示感染人乳头瘤病毒（HPV）到发展为尖锐湿疣的时间为 6～10 个月，最短为 2 个月，最长可达 18 个月，暂时的无症状不代表未感染 HPV，也不代表不会进展为尖锐湿疣
[1]
。
HPV 传染性非常强。在性行为过程中，即使很细小的皮肤黏膜的裂隙，当含有比较大量病毒颗粒的表皮细胞或角蛋白进入时，就有可能产生感染。只要发生了高危性行为（如未使用避孕套等），风险都是巨大的，不应存在侥幸心理，应该洁身自好。
尖锐湿疣会传染给孩子吗？
可能会。
母亲患有 HPV 感染时，在分娩过程中，胎儿经过感染有 HPV 的产道可感染上 HPV
[1]
。另外，无论是爸爸还是妈妈，与孩子共同生活可能会共用一些物品，这也可能成为传染途径，虽然几率很低。
共用泳池会传染尖锐湿疣吗？
共用泳池基本不会传染上尖锐湿疣。
尖锐湿疣主要依靠性接触传播。在性接触的过程中，性行为摩擦造成黏膜表面产生微小破口，病毒可以经由这些微小破口发生传染。
除了性接触直接传播外，一些共用的物品，如马桶坐垫、毛巾、床单、浴缸等虽说有可能造成传播，但是感染条件非常苛刻，只有在生殖器黏膜或者皮肤破损的情况下，接触带有足量 HPV 病毒的体液或物品才有可能，所以被传染的几率极低，日常接触几乎不会由此染上尖锐湿疣，不必过于惊慌。"
扁平疣,"扁平疣的病因是什么？
扁平疣的病因很明确，就是感染了人类乳头瘤病毒（HPV）。
该病毒只寄生于人类，宿主细胞是皮肤和黏膜上皮细胞。HPV 可以引起上皮细胞的过度增生和角化过度，造成细胞的堆积，从而在皮肤表面形成扁平突起的小疙瘩
[1-6]
。
扁平疣的好发人群有哪些？
所有人都有可能得扁平疣，但发病年龄多为 16～30 岁，尤其是免疫功能低下及皮肤有外伤者易患此病
[1,5]
。
扁平疣会传染吗？
扁平疣会传染。
可以在人与人之间传染，也可以在自身的不同部位之间传染
[2]
。
扁平疣是怎么传染的？
扁平疣主要通过皮肤接触而传染。
患者和健康带病毒者是主要的传染源，会把人乳头瘤病毒（HPV）传染给别人。HPV 可通过皮肤微小破损进入细胞内并复制、增殖
[1，5]
。
扁平疣遗传吗？
不遗传。
一种疾病如果遗传，要么是人体内的遗传物质发生了改变，要么是受致病基因的控制，都是因为人体内部的因素。扁平疣只是因为外界的人类乳头瘤病毒感染了人的皮肤上皮细胞，导致赘生物的形成，因此不会遗传。
感染了人乳头瘤病毒，只会得扁平疣吗？
不是的。
人乳头瘤病毒（HPV）可致人类皮肤和黏膜异常增生，它有 100 多种亚型，不同亚型引起的疾病不同。
低危型的 HPV 可能会出现一些良性的病变，如感染该病毒后，有可能会出现寻常疣、跖疣、扁平疣、尖锐湿疣等皮肤病。高危型的 HPV 还有一些人群也可能会发生恶性肿瘤，如宫颈癌、外阴癌、肛门癌等。也有部分人感染了该病毒后不出现任何症状和病变。
导致扁平疣的 HPV 亚型和导致恶性肿瘤的 HPV 亚型是不同的，不需过度担忧。
扁平疣不治疗，会引发其他的疾病吗？
有可能。
长扁平疣是因为感染了人乳头瘤病毒，目前该病毒确定的分型有近百种，不同分型导致不同的疾病。其中引发扁平疣的人类乳头瘤病毒亚型主要是 3、10，另外还有少见的亚型不但能导致扁平疣，还能引发寻常疣、跖疣、丝状疣。
寻常疣是好发于手及足缘的病毒性皮肤病，跖疣是长在足底的寻常疣的特称。扁平疣发生之后建议尽早治疗，否则可能会发生寻常疣或者跖疣。"
梅毒,"梅毒的发病原因是什么?
梅毒的发病机制未完全阐明，目前认为主要与 T 细胞介导的免疫反应有关
[1]
。
TP 表面的粘多糖酶可能与其致病性有关。TP 对皮肤、主动脉、眼、胎盘、脐带等富含粘多糖的组织有较高的亲和力，可由粘多糖酶吸附到上述组织细胞表面，分解粘多糖造成组织血管塌陷、血供受阻，继而导致管腔闭塞性动脉内膜炎、动脉周围炎，出现坏死、溃疡等病变
[1]
。
梅毒的传染源是哪些人群？
梅毒的唯一传染源是梅毒患者
[1]
，包括显性和隐性患者，感染者的皮损、分泌物、血液中含有梅毒螺旋体。
未经治疗的患者，感染后的前 两年传染性强，四年后性传播的传染性大为下降。梅毒螺旋体可通过胎盘传给胎儿，其传染性随病期的延长而逐渐减弱，早期梅毒的孕妇传染给胎儿的危险性很大。
梅毒的常见的传播途径有哪些？
患者的皮损、血液、精液、乳汁和唾液中均有螺旋体存在。其常见传播途径有以下几种：
性接触传： 约 95％ 患者通过性接触，由皮肤黏膜微小破损传染
[1]
。未经治疗的患者在感染后 1～2 年内具有强传染性，随着病期延长，传染性越来越小
[1]
。
垂直传播： 妊娠 四个月后 TP 可通过胎盘及脐静脉由母体传染给胎儿
[1]
，分娩过程中新生儿通过产道时也可于头部、肩部擦伤处发生接触性感染。
其他途径： 冷藏 三天以内的梅毒患者血液仍具有传染性，输入此种血液可发生感染
[1]
；少数患者可经医源性途径、接吻、握手、哺乳或接触污染衣物、用具而感染。"
生殖器疱疹,"生殖器疱疹是什么原因引起的？
引起生殖器疱疹的主要原因是感染了单纯疱疹病毒（HSV）
[3]
。
HSV 分为 1 型和 2 型两种（HSV-1 / HSV-2），约有 90％ 的生殖器疱疹是由于 HSV-2 感染所致（每 100 名生殖器疱疹约有 90 人是由于 HSV-2 感染所致）
[1]
。
生殖器疱疹会传染吗？生殖器疱疹传染源是什么？
会传染。
生殖器疱疹的传染源为生殖器疱疹病毒感染者，以及部分有疱疹史但无症状的病毒携带者。需注意的是，有皮损者传染性更强
[1]
。
生殖器疱疹是怎么传染的？
主要是依赖性接触传播的，原因是本病患者体内的单纯疱疹多存在于皮损处渗液、精液、前列腺液、宫颈及阴道分泌物等处
[1]
。
与患有生殖器疱疹的人阴交、肛交，就可能患上此病。
若伴侣感染有口腔疱疹，则有可能通过口-生殖器性行为的传播，患上本病
[1]
。
生殖器疱疹和艾滋病病毒之间有什么联系？
单纯疱疹感染可引起皮肤或口腔黏膜、阴道和直肠长疮或溃烂。这会给 HIV 以可乘之机，使其能够进入人体
[4]
。
即便没有可见的疮口，生殖器疱疹亦会提高处于生殖器中的 CD4 细胞（HIV 进入人体所需通过的目标细胞）数量，从而感染 HIV -1
[4]
。
当一个人同时感染 HIV 和生殖器疱疹，则 HIV 通过伴侣的口腔、阴道或直肠进行传播，使原本尚未感染 HIV 的性伴侣感染 HIV 的机会增加。"
基孔肯雅热,"基孔肯雅热是什么病原体引起？
基孔肯雅病毒，属于披膜病毒科甲病毒属，是一种单股正链 RNA 病毒。基孔肯雅病毒可感染非人灵长类、乳鼠等动物。
基孔肯雅病毒对理化因素的抵抗力较弱，对酸、热、脂溶剂、去污剂、漂白粉、酚、70％ 酒精和甲醛敏感。
基孔肯雅热病毒是如何导致人体生病的？
基孔肯雅热病毒可以直接侵犯人体导致生病：病毒进入人体细胞，并在细胞内复制，导致细胞坏死和凋亡；病毒还可通过胎盘感染胎儿，导致流产或胎儿死亡。
病毒还可以激发免疫机制导致生病：病毒大量复制后，通过血液循环播散至肝脏和关节等身体部位（特别是在关节组织中具有较高浓度），激发体内大量细胞因子、炎性因子等，引发炎症反应、细胞聚集，导致出现症状。
基孔肯雅热是怎么传染的？会人传人吗？
基孔肯雅热可通过以下方式传播：
蚊子传播
：是最主要的传播方式，主要蚊媒是埃及伊蚊和白纹伊蚊，多在白天叮咬。蚊子吸食已感染病毒个体的血液后，病毒到达蚊子唾液腺，蚊子再通过叮咬将病毒传播给其他人或动物。轮船和飞机还能将蚊子的幼虫和虫卵运输到具有适宜环境和气候条件的新地区，开始新的传播。一般来说，温度越高，蚊子传播病毒越快，在温带地区凉爽的气温下，蚊子可能在外潜伏期结束之前便死亡了，所以通常不会引起暴发流行。
血制品和器官移植传播
：接触患者的血液或血制品可被感染；移植被感染者的器官，比如角膜，也有可能被感染。
母婴传播
：孕妈妈感染基孔肯雅病毒后，若在产时（分娩前 2 天至分娩后 2 天)有症状，则母婴传播概率最高，约 50%；剖宫产不能防止母婴垂直传播。
基孔肯雅热患者在疾病的第 1 周（这段时期内很可能是病毒血症期）需要采取预防措施，避免被蚊虫叮咬，这样可以减少将病毒通过蚊子传播给他人的风险。
基孔肯雅热在哪些人群比较常见 ？
人对基孔肯雅病毒普遍易感，任何年龄均可感染发病，无性别、职业和种族差异。但新老疫区，发病人群有差异。
在新疫区或输入性流行区，所有年龄组均可发病；
在老疫区，比如非洲和东南亚等长期流行地区，儿童发病较多。"
癌前病变,"癌前病变是由什么原因引起的？
病毒感染：人乳头瘤病毒、单纯疱疹病毒、白念珠菌等感染可导致黏膜白斑，乙肝病毒感染可导致肝炎、肝硬化等。
内分泌紊乱：女性性激素紊乱可能会导致外阴黏膜白斑、乳腺纤维囊性增生症等。
遗传：肠息肉具有一定的遗传作用。
物理化学刺激：吸烟、嗜酒、喜食酸辣、烫的食物，可能导致口腔黏膜白斑、食管上皮不典型增生、慢性萎缩性胃炎等。
局部刺激因素：不合适的假牙、牙齿错位、牙结石等长期磨损口腔黏膜，导致黏膜白斑、口腔溃疡等的发生。
生活饮食习惯：饮食习惯以各种肉类为主，吃蔬菜少或基本不吃蔬菜也可能会导致肠息肉的发生。
疾病因素：长期便秘也会刺激到肠道，导致肠息肉的发生。"
传染性软疣,"传染性软疣哪些人群比较容易得？
传染性软疣多见于儿童及青少年
[1]
。另外，因本病由病毒感染所致，机体免疫力低下者，如肿瘤患者、艾滋病、器官移植、服用免疫抑制剂的人也易得。
传染性软疣病毒是通过什么途径传播的？
此病毒主要通过接触传染、性接触、接触污染物传染。此外病毒在患者皮肤还可自体接种（一个病灶从一个部位经摩擦或患者搔抓而播散到其他部位）
[1]
。
传染性软疣会通过在公共泳池里游泳传染上吗？
有可能。在公共游泳池里游泳，如果和传染性软疣患者直接接触，或使用患者使用过的公共洗浴设施（如浴池、桑拿房等），是有可能传染上本病的。
有医生曾对所在门诊近 1 年中因传染性软疣就诊患者的染病原因进行统计，结果发现，在 685 名患者中，有 87 名（约占 12.70%）患者因在公共泳池游泳染病，86 名（约占 12.55%）因在公共浴室洗浴染病
[4]
。
传染性软疣可通过性接触传播吗？
传染性软疣可以通过性接触传播，有些生殖器部位的损害可能是由性接触感染，但并不是所有的生殖器部位传染性软疣都是由于性接触感染。
儿童的传染性软疣怎么总是长新的？
传染性软疣有传染性，某些未被发现的疣体可以继续自身传播；
儿童自我控制能力弱，喜欢搔抓，容易造成自体反复传播。
建议儿童一旦发现皮疹，及早开始治疗，且睡觉时戴上手套，可以在痒的部位外用炉甘石药水止痒，避免患儿用手反复抓导致的自身传播。"
传染性湿疹样皮炎,"传染性湿疹样皮炎的病因是什么？
传染性湿疹样皮炎的发病与原发的细菌感染病灶的分泌物及其中的细菌毒素刺激、以及自体敏感性相关。
传染性湿疹样皮炎常见于哪些人？
传染性湿疹样皮炎会发生于慢性感染病灶、分泌物较多的人。
传染性湿疹样皮炎会传染吗？
它不会传染给别人，但是会「自体传染」，意思是原发感染灶的分泌物所到之处都可能会引起传染性湿疹样皮炎，所以，积极治疗感染灶、清理分泌物，可以帮助减轻症状。"
发热,
感冒,"感冒可由哪些病毒引起？
最常见的引起感冒的病毒是鼻病毒，大约一半的感冒是由它引起的
[2]
。
其它可以引起感冒的病毒还有冠状病毒、流感病毒、副流感病毒、呼吸道合胞病毒、腺病毒、肠道病毒等 200 余种病毒。
感冒时感染了一种感冒病毒后，身体能产生持久的免疫力吗？
不能。
引起感冒的病原体种类繁多，机体对其感染后产生的免疫力较弱，并且短暂，所以会反复感染
[1]
。
感冒会传染吗？
会传染，是最常见的传染病之一
[1]
。
引起感冒的病毒大多通过以下两种方式传播：
手接触：感冒患者在打喷嚏、咳嗽时，可以把病毒播散到自己的皮肤或周围的物体上，病毒可以在皮肤和物体表面存活数小时；其他人用手接触感冒患者或沾有病毒的物体后，再接触自己的口、鼻，就有可能感染病毒。
飞沫：感冒患者在打喷嚏、咳嗽时，会喷出带有病毒的飞沫，其他人吸入后，就有可能感染病毒。
其中，手接触是最主要的传染途径。但并不是说手接触了病毒或吸入了带有病毒的飞沫，就一定会得感冒。患上感冒的风险，取决于和感冒患者共处的时间、接触的亲密程度以及接触到的病毒量。
感冒只在秋冬季发生吗？
不是的，一年四季都可以发生感冒。不同病毒，活跃的季节不同：
鼻病毒和副流感病毒，在春、秋季比较活跃；
冠状病毒和呼吸道合胞病毒，通常在冬、春季比较活跃；
肠道病毒最常在夏季引起感冒；
腺病毒一年四季都可以引起感冒，而且容易在部队、托儿所、病房等地方引起感冒暴发。
感冒容易发生在哪些人身上？
感冒在各个人群中都可能发生，但是多见于以下人群
[3,4]
：
处于心理过度紧张、压力过大的人；
缺乏体育锻炼的人；
长期处于人群拥挤环境者；
久坐者；
过度疲劳者；
长期睡眠不足的人。
重感冒容易发生在哪些人身上？
有糖尿病、慢性支气管炎、心脏病、肾脏病等慢性病的人；
先天性免疫缺陷病患者；
营养不良的人；
吸烟的人。
感冒可能会因为哪些因素引起？
季节变化、人群拥挤的环境、久坐的生活方式、年龄、吸烟、营养不良、应激、过度疲劳、失眠、免疫力低下等都是感冒的危险因素。此外，心理压力大，情绪紧张（医学称为心理应激）会增加感冒发病的风险，适当进行体育锻炼会降低感冒风险
[3,4]
。
感冒会由着凉引起吗？
着凉会导致感冒症状，归在非变应性鼻炎范畴，但着凉和病毒感冒没有直接关系，也没有科学证据表明寒冷的气候会增加人体感染病毒的风险。
但因为病毒多在寒冷季节流行，以及一些非感染的非变应性鼻炎，所以秋冬季感冒更多见。"
淋病,"淋病会传染吗？
会。
淋病主要通过性接触传染，属一种性病，性交是其主要的传播方式
[1]
。
淋病只通过性接触传播吗？
不只是，还可通过接触、母婴进行传播，具体如下：
接触患者分泌物传播：淋病患者可以排出带有淋病奈瑟菌淋球菌的分泌物，其传染性在湿润的环境中可以保持传染性可以超过 10 小时，少数情况下，健康人接触到被淋病患者污染的物品（如毛巾、衣裤、被褥等）或肢体（主要是手）也可能被传染淋病
[1]
。
母婴传播：另外，怀孕的妇女患有淋病时可通过羊膜腔将淋病传染给胎儿，临盆的产妇患有淋病时也可经产道把淋病传染给新生儿
[1]
。
淋病常见于哪些人？
性生活活跃的人群：淋病主要通过性接触传染，所以处于性生活活跃的人容易患淋病。尤其是有多个性伴侣，且发生性行为时没有任何保护措施，更容易患本病；
婴幼儿：另外，由于幼儿需要他人照顾生活（如便溺、洗浴、穿衣等），容易被照料者传染从而得淋病，尤其是幼女的生殖道短，更容易被感染。
由患病母亲分娩的新生儿：若母亲为淋病患者，在胎儿时期也可以通过羊膜腔传播给胎儿，胎儿在经过产道时容易被感染
[1]
。
淋病患者如何推测其感染时间？
淋病的潜伏期是 2～10 天，因此被诊断淋病后，2～10 天内的性接触都可能是感染的原因
[1]
。
淋病在近 10 天内，没有性交，但有些亲密接触，会传染吗？
淋病的传染性是比较强烈的，如果在亲密接触过程中，有接触到脓性分泌物，是有可能造成淋球菌感染的。
淋病患者近 10 天内的性伴都没有病，是如何被传染的？
理论上，淋病可以通过间接接触传染，但间接接触传染的情况比较罕见。由于相当部分人患淋病后症状并不明显或没有症状，所以感觉性伴「没病」可能只是没有症状而已
[1]
。
淋病治好后是不是以后都不会得淋病了？
基于淋球菌的自身特性，人体并不能对淋球菌形成永久有效的免疫，所以再次接触到这种菌，还是可能再次被传染上淋病的
[1]
。"
尿道炎,"尿道炎常见的致病微生物有哪些？
尿道炎是一类常见病、多发病，可由细菌、真菌、病毒等各种微生物引起。
淋菌性尿道炎由淋病奈瑟菌感染引起，非淋菌性尿道炎病原体以沙眼衣原体或生殖支原体为主，还有滴虫、白色念珠菌、包皮杆菌、单纯疱疹病毒、肝炎病毒等
[1]
。
尿道炎中淋菌性尿道炎的传播途径是什么？
性传播：人是淋球菌唯一的天然宿主，淋球菌对外界环境的抵抗力低，离体后仅能在较短时间内生存，因此，淋菌性尿道炎最主要的传播途径是不洁性生活，包括男同性恋性行为，应警惕直肠炎和尿道炎交互感染。
间接传播：部分人群没有过类似性生活史也得病；最常见的原因是不慎接触到含有淋球菌分泌物的衣裤、马桶、浴盆等而致病。
母婴传播：患淋病的孕妇分娩常是新生儿感染的原因
[1]
。
尿道炎中淋球菌性尿道炎常见，还是非淋球菌性尿道炎常见？
非淋球菌性尿道炎较淋球菌性尿道炎多见，在性传播疾病中占首位。此外，也常可见到二者混合感染
[1]
。
尿道炎什么情况容易得？
尿道外口与外界是相通的，在尿道口皮肤、黏膜上都存在一些正常菌群，其对致病的细菌有一定的抑制作用，加上正常人的尿液的理化性质（酸碱度、渗透压）和频繁的排尿活动，均可减少尿道炎的发生。
尿道炎的发生是细菌等微生物跟机体斗争，并且战胜机体的结果。故而当以下情况发生时可引起尿道炎的发生：
机体的抵抗力减弱（糖尿病、营养不良、免疫力低下）；
尿道有梗阻，如结石、肿瘤等阻塞尿道引起排尿不畅，还容易导致细菌滋生；
尿道有外科操作，比如导尿、膀胱镜等检查治疗时，擦伤尿道黏膜等；
生理结构异常，男性的阴茎包皮口、尿道、尿道外口过于狭窄，女性出现处女膜融合的状况，都会导致尿液无法顺利排出，引发尿道炎。
尿道炎患者为什么女性比男性常见？
正常男女的尿道外口都是与外界相通的，但是女性尿道外口开口于前庭，紧邻阴道口，所处局部环境细菌较多，附近发生的感染病灶也可累及尿道，如尿道旁腺炎、阴道炎等。且女性的尿道较男性更短、更直，故而较男性更容易感染发生尿道炎，尤其是月经期、更年期、性生活、怀孕时
[2]
。"
发热,
