疾病名称,简介
艾滋病,"艾滋病是什么？
艾滋病是「获得性免疫缺陷综合征」（AIDS）的简称，音译过来就是我们常说的「艾滋」。艾滋病是由人免疫缺陷病毒（HIV）引起的慢性传染性疾病，HIV 侵犯人体的免疫系统，导致人体细胞免疫功能受损乃至缺陷，最终并发严重机会性感染（通常不会引发感染的病原体在人体免疫力低下时引起的感染）和肿瘤，主要经性接触、血液以及母婴传播，有传播迅速、发病缓慢、病死率高的特点
[1]
。
艾滋病患者通常表现为持续一个月以上的发热、盗汗、腹泻、消瘦、淋巴结肿大，还可能有头痛、痴呆、癫痫等神经系统症状，同时因免疫系统被破坏，各器官容易遭受各种机会性感染，也容易长出各种肿瘤
[1]
。
目前艾滋病是无法治愈的，怀疑被感染时应该及时去医院检查。在我国，抗艾滋病病毒药物是免费的，一定要积极治疗，药物治疗可尽量维持机体的免疫功能，延长寿命
[1]
。
感染HIV就是艾滋病吗？
「艾滋病」是 HIV 感染的末期，此阶段免疫系统的功能最薄弱。
从感染 HIV 到发展为艾滋病，可分为急性期、无症状期、艾滋病期 3 个阶段
[1,2]
：
急性期：此阶段是 HIV 刚刚感染人体的阶段，期间症状通常发生在接触 HIV 后 2～4 周，大多数患者症状轻微，一个月内自行缓解。
无症状期：这个阶段一般持续 6～8 年，感染者不会有明显的症状，时间长短与机体免疫状况等因素有关。
艾滋病期：为感染 HIV 后的终末期，免疫系统严重破坏，出现明显的 HIV 感染症状，以及各种机会性感染和肿瘤。
艾滋病常见吗？
不常见，但艾滋病对人类健康有着极大威胁。自 2016 年以来，我国每年检查发现感染 HIV 的患者数量均超过了 10 万人
[3]
，截止 2018 年 9 月底，我国感染者已达到 85 万人
[4]
，根据推算，我国现感染人数已经超过 100 万。
艾滋病去哪里就诊？
医院的感染科、传染科、皮肤性病科或疾病预防控制中心。"
狂犬病,"狂犬病是什么病？
狂犬病，是由狂犬病毒引起的一种以侵犯中枢神经系统为主要特征的人兽共患传染病
[1]
。人、家畜和野生动物都可以被狂犬病毒感染。因为对水恐惧是狂犬病最具特征性的表现，所以俗称「恐水症」。狂犬病一旦发病，无有效治疗手段，几乎 100% 死亡。多数患者在出现症状后的 3～ 10 天内死亡，极少有超过两周的
[1]
。
人类狂犬病，主要是被感染的动物咬人时，通过唾液把狂犬病毒经伤口传入人体而感染人，伤人动物以犬多见。
狂犬病的危害到底有多么严重？
国外专家 Fleming 曾说过：「世界上没有任何一种疾病的痛苦与病死率能与狂犬病比拟」。
2015 年一项研究调查显示，全球每年狂犬病死亡例数约 59000 例，主要发生于亚洲和非洲，至今几乎所有确诊的狂犬病人都毫无例外的死亡
[2]
。
狂犬病常见吗？
常见。全球每年狂犬病死亡例数约 59000 例，是致死人数最多的动物源性传染病
[2]
。
狂犬病有哪几种类型？
根据临床表现可分为
[2]
：
狂躁型：可表现为极度恐惧、恐水、怕风、咽肌痉挛、呼吸困难等；
麻痹型：没有典型的兴奋期以及恐水等现象，主要以高热、头痛、呕吐、肢体软弱无力、大小便失禁等为特征。"
乙型肝炎,"乙型肝炎是一种什么疾病？
乙型肝炎简称乙肝，是由感染乙型肝炎病毒（hepatitis B virus、HBV）引起的感染性疾病，具有传染性，主要通过血液 、体液和母婴传播，易感人群为体内无乙肝表面抗原者
[1]
。
乙肝活动期的主要症状为倦怠乏力、食欲减退、恶心腹胀、肝脏肿大、肝区疼痛，有时可见尿黄、皮肤黏膜及巩膜黄染
[1]
。
主要治疗方式为抗病毒治疗，但目前尚无根治慢性乙肝的药物。患者应做好定期复查及随访
[1]
。
乙型肝炎病毒感染有哪些类型？
1. 急性乙型肝炎： 既往未感染过乙肝病毒，发现乙肝表面抗原阳性或乙肝病毒 DNA 阳性六个月内
。
成人急性乙肝一般为自限行疾病（依靠机体自身调节能控制疾病发展，使其逐渐恢复和痊愈），不需要抗病毒治疗，多可自愈
[1]
。
2. 乙型肝炎病毒携带者
：乙肝病毒携带者即被乙肝病毒感染，但是肝脏没有出现损害的患者
[1]
。
乙肝病毒携带者通常无需治疗，但需定期随访、检查，当病情变化时需及时治疗。可细分为以下几类：
（1）慢性 HBV 携带者：乙型肝炎表面抗原（HBsAg）、乙肝病毒 DNA 阳性，乙型肝炎 e 抗原（HBeAg）或乙型肝炎 e 抗体（抗-HBe）阳性，一年内连续随访三次，每次至少间隔三个月，均显示转氨酶在正常范围，乙肝病毒 DNA 通常处于高水平，肝组织学检查无病变或病变轻微。
（2）低复制 HBsAg 携带者：血清 HBsAg 阳性，HBeAg 阴性，抗-HBe 阳性或阴性，乙肝病毒 DNA 低于检测下限，一年内连续随访三次以上，每次至少间隔三个月，谷草和谷丙转氨酶均在正常范围。
（3）慢性乙型肝炎
[1]
：HBsAg和乙肝 DNA 阳性，同时伴有血清谷丙转氨酶（ALT）持续或反复升高，或肝组织学检查有肝炎改变，诊断为慢性乙型肝炎，需积极抗病毒治疗。
（4）隐匿性慢性乙型肝炎
[1]
：HBsAg 阴性，但血清和（或）肝组织中乙肝病毒 DNA 阳性，并有慢性乙型肝炎的表现（乏力、厌油、右上腹不适等症状及体征）。也需要积极进行抗病毒治疗，否则易对肝脏造成损伤。
乙型肝炎在我国常见吗？
常见。调查显示，2016 年我国乙型肝炎表面抗原流行率估计为 6.1%，即每 1000 人约有 61 人为乙肝表面抗原阳性者。推算我国目前有乙肝病毒感染者约为 8600 万人
[2]
。
乙型肝炎应该在哪个科就诊？
肝病科、传染病科、感染科、消化内科。"
不明原因发热,"不明原因发热是什么？
不明原因发热，是指经过详细评估和诊断性试验，仍无法确定病因的持续时间较长的发热性疾病。
1961 年，Petersdorf 和 Beeson 通过对一系列发热原因不明患者的观察后正式提出「不明原因发热」（fever of unknown origin，FUO）的定义和分类，并沿用至今，成为经典的「不明原因发热」（成人）概念。即：
多次测量体温均超过 38.3 ℃；
发热至少持续 3 周；
住院检查 1 周后仍不能明确诊断。
找到病因是治疗的关键，不建议为了控制发热而盲目使用广谱抗生素、解热镇痛药、甚至糖皮质激素。发热期间注意补充足够的水和营养。
不明原因发热的发生率高吗？
未确诊的 FUO 所占比例在 20 世纪 30 年代超过 75%，20 世纪 50 年代下降到不足 10%。
科学技术的进步极大改善并推动了 FUO 的鉴别诊断和治疗，故截至目前，真正的 FUO 并不多见，具体发生率尚不可知。"
带状疱疹,"带状疱疹是什么？
带状疱疹，又称蛇缠腰、蛇盘疮、缠腰火丹、蜘蛛疮等，是由潜伏在体内的「水痘-带状疱疹病毒」引起的感染性疾病。
带状疱疹和水痘由同一种病毒引起。初次感染这种病毒者一般不会出现带状疱疹，而是出现水痘，也可能没有明显的表现，医学上叫做隐性感染。带状疱疹通常在春秋季节的发生率较高，且常见于成人
[1]
。其典型表现是皮肤有成片红斑，以及在红斑基础之上出现水疱。这些皮疹在皮肤表面沿身体一侧的周围神经分布，一般是条带状，并伴有局部剧烈疼痛。
带状疱疹有自限性，也就是可以不治而愈，一般是在发病 2～3 周内逐渐结痂痊愈
[2]
。不过它有可能遗留严重的神经痛，持续时间长，特别是年老体弱者。易感人群根据具体情况可以提前注射带状疱疹疫苗预防发病。
带状疱疹常见吗？
比较常见。
据报道，全球普通人群带状疱疹的发病率为（3～5）/ 1 000 人年，即全球每年每一千人中，就有 3～5 人患有该病；亚太地区的发病率为（3～10）/ 1 000 人年，即亚太地区每年每一千人中，就有 3～10 人患有该病；并逐年递增 2.5％～5.0％
[3]
。"
尖锐湿疣,"尖锐湿疣是什么疾病？
尖锐湿疣是指由人乳头瘤病毒（HPV）引起的一种导致肛门、外生殖器部位的皮肤和黏膜出现赘生物（疣）的疾病，主要依靠性接触传播，属于性病的一种
[1]
。
尖锐湿疣比较难根治，但不应放弃治疗，经过规范的药物和物理治疗，还是有望彻底治愈的。
尖锐湿疣的患病人数多吗？
尖锐湿疣在全世界都有流行，是非常常见的性病。在全球每十万人约有 160 ~ 289 人患此病
[2]
，其中，约 24～29 人为中国人
[3]
。
尖锐湿疣看什么科？
一般来说，需要看皮肤性病科，有的医院是分开的皮肤科、性病科，都可以选择。
有一些医院，感染科、泌尿外科也可能诊治，但通常建议先去看皮肤性病科。"
扁平疣,"扁平疣是什么？
扁平疣是一种由人乳头瘤病毒（HPV）感染而引起的皮肤良性病变。表现为皮肤上出现扁平隆起的小疙瘩（赘生物），好发于儿童、年轻成人
[1-6]
。
扁平疣病程缓慢，可在两年内自行消退，少数患者可再复发
[1]
。由于扁平疣会传染，所以一旦确诊建议尽早治疗，治疗方法包括药物、冷冻等。"
梅毒,"梅毒是什么？
梅毒（syphilis）是由梅毒螺旋体（TP）引起的一种性传播疾病，目前主要通过性接触传播和母婴垂直传播
[1]
。
如果不及时治疗，本病危害性极大，可侵犯全身各组织器官，引起各种各样的症状。	如侵犯关节时可引起单处或多处关节同时发病，导致关节持续疼痛。或通过胎盘传播引	起胎儿流产、早产、死产和先天性梅毒，还可导致脑膜炎和主动脉疾病等严重并发症。
图源：站酷海洛
治疗药物首选青霉素，及早、足量、规范治疗，本病是可以被治愈的。
梅毒螺旋体（TP）是什么？
TP 通常不易着色，故又称苍白螺旋体，由 8～14 个整齐规则、固定不变、折光性强的螺旋构成，长 4～14 μm，宽 0.2 μm，可以旋转、蛇行、伸缩 三种方式运动
[1]
。
TP 属于厌氧微生物，离开人体后不易生存，煮沸、干燥、日光、肥皂水和普通消毒剂均可迅速将其杀灭，但其耐寒力强，在 4 ℃ 下可存活三天，－78 ℃ 保存数年仍具有一定传染性
[1]
。
梅毒感染者在我国多吗？
梅毒是在全世界流行的疾病，据世界卫生组织（WHO）估计，全球每年约有 1200 万新发病例，主要集中在南亚、东南亚和非洲。解放后，六十年代在政府部门的努力下，我国性传播疾病流行得到了基本控制。
近年来，随着国际交往的日益频繁和旅游事业的迅速发展，梅毒感染率在我国增长迅速，已成为报告病例数中排名前三的性病
[1]
。
所报告的梅毒中，潜伏梅毒占多数，一、二期梅毒也较为常见，先天梅毒报告病例数也在增加。
梅毒会遗传吗？
梅毒不属于遗传类疾病， 母体的遗传物质染色体和基因并不会携带梅毒的信息，当然也不会遗传给下一代。但是患有梅毒的孕妇可通过胎盘传播梅毒螺旋体给胎儿，引起胎儿宫内感染，发生先天梅毒。"
生殖器疱疹,"生殖器疱疹是什么？
生殖器疱疹是一种由单纯疱疹病毒（HSV）感染引起的、主要通过性接触传播的疾病，属于「性病」的一种
[1]
。
主要表现为生殖器部位以及肛周皮肤黏膜出现水疱样的疹子，伴灼热感。可以通过药物治疗手段缓解患者症状，但该病容易反复发作。不及时处理的话，可能会继发细菌感染或全身散播
[2]
。
生殖器疱疹常见吗？
常见
[3]
。
本病的发病率在迅速增加，成为许多国家和地区生殖器溃疡的主要组成病种，好发于 15～45 岁性活跃期男女
[3]
。
我国一项调查结果显示，生殖器疱疹占生殖器溃疡的 43.95％
[3]
，即为每 10000 个患有生殖器溃疡的患者中，约有 4395 人患的是生殖器疱疹。
生殖器疱疹的感染可以分为哪些类型？
生殖器疱疹感染根据临床表现及疾病复发次数，可分为
[1]
：
初发性生殖器疱疹：一般潜伏期为 2～14 天，就是单纯病毒感染后 2～14 天出现症状，病程一般 2～3 周。
*原发性生殖器疱疹：是指单纯疱疹首次感染[1]。
*非原发性初发性生殖器疱疹：指先前既往有单纯疱疹病毒感染的患者出现生殖器疱疹。
复发性生殖器疱疹：首次复发多在原发感染后 1～4 个月，皮损一般在首次发病的部位出现。
亚临床型生殖器疱疹：一般没有典型的疱疹临床表现，容易被忽视，但是具有传染性。
生殖器疱疹应该去哪个科室就诊？
皮肤性病科、皮肤科。
生殖器部位出现成片的、脓疱、糜烂、溃疡等生殖器疱疹表现可以去皮肤性病科就诊。"
基孔肯雅热,"基孔肯雅热是什么？
基孔肯雅热，英文为 chikungunya fever，又称为契昆根亚热、奇昆古尼亚热、屈公病等，都是根据英文名音译而来。
本病是由于感染了基孔肯雅病毒而导致的疾病，该病毒主要通过蚊虫叮咬传播。chikungunya 源自非洲当地马孔德语，意指「使变得扭曲」「使身体弯曲」或「弯腰走路」，形容被病毒感染后出现关节疼痛、活动受限或是活动障碍的特殊姿势和体态。
目前针对本病没有特异的抗病毒治疗，在急性发病期主要是对症支持治疗，比如休息、补充水分、缓解发热和疼痛等。对于慢性患者或病情反复患者，可使用甲氨蝶呤、糖皮质激素治疗。部分患者关节疼痛可持续多年，生活质量明显降低。
预防基孔肯雅热的措施主要是尽量避免蚊子叮咬。疫苗尚在研发中。
基孔肯雅热患病人群多吗？常见于哪里（疫区）？
基孔肯雅热常见，发病率高，可导致大规模暴发，在病毒传播地区可引起 1/3～3/4 的人群感染发病。
在过去十几年中，基孔肯雅热的暴发次数有增多，流行范围不断扩大，已在全球 100 多个国家和地区出现，造成全球范围内每年大约 100 万人感染。
基孔肯雅热在非洲、亚洲、欧洲、印度洋和太平洋岛屿及美洲地区都有过暴发。在非洲的主要流行地区有坦桑尼亚、南非、津巴布韦、扎伊尔、塞内加尔、安哥拉、尼日利亚、乌干达、罗得西亚、科摩罗、毛里求斯、马达加斯加、马约特岛、塞舌尔及法属留尼旺岛等国家和地区；在亚洲有印度、斯里兰卡、缅甸、越南 泰国、老挝、柬埔寨、菲律宾和马来西亚等。
基孔肯雅热病例在我国出现过吗？
我国于2008年首次发现输入性病例，曾在广东和云南等地引发本地疫情，尚未形成稳定的疫源地。2025年7月，广东佛山发生输入病例引发的本地传播疫情。目前，疫情正处于防控的关键时刻，公众要积极配合政府相关部门做好清积水、灭蚊虫、防叮咬等措施。
截至2024年12月，全球已有119个国家和地区报告了基孔肯雅热的本地传播，大规模暴发和零星病例主要发生在美洲、亚洲和非洲。2025年1月至6月，已有14个国家或地区报告了约22万例基孔肯雅热病例和80例死亡病例。"
癌前病变,"癌前病变是什么癌症吗？
癌前病变不等于癌症，它与癌是两种不同的病变，而且此病变也不是癌的前期，而是一些具有癌变潜能的良性病变
[1]
。
比较多见的癌前病变有肝细胞不典型增生、结直肠（大肠）腺瘤样息肉、慢性萎缩性胃炎伴肠上皮化生（胃黏膜上皮细胞被肠型上皮细胞代替）、黏膜白斑、宫颈上皮不典型增生、乳腺纤维囊性增生病等。
癌前病变大多是良性病变，经过规范治疗，一般不会进展成癌症
[1]
。
癌前病变常见吗？
本病常见。例如通过胃镜和胃组织活检进行的胃癌筛查中，常见的胃癌前病变（慢性萎缩性胃炎、上皮内瘤变）的比例高达 30%
[2]
。
常见的癌前病变有哪些？
不同的部位有不同的癌前病变，常见的有：
结直肠（大肠）：腺瘤样息肉、溃疡性结肠炎；
胃：慢性萎缩性胃炎伴肠上皮化生、残胃、胃腺瘤；
食管：上皮不典型增生、巴雷特食管；
肝：肝硬化、肝细胞不典型增生、腺瘤样增生；
黏膜：黏膜白斑（口腔、食管、阴茎、外阴、子宫颈等处）；
宫颈：宫颈上皮不典型增生、慢性子宫颈炎伴子宫颈糜烂；
乳腺：乳腺组织非典型增生、导管内乳头状瘤、乳腺纤维囊性增生病；
皮肤：交界痣，可出现在身体的各个部位。"
传染性软疣,"传染性软疣是什么疾病？
传染性软疣是由传染性软疣病毒引起的皮肤病，可经皮肤直接接触、性接触、接触污染物的方式传播。
主要表现为皮肤多发小半球形丘疹，顶端中央有小凹陷，丘疹可呈灰色或珍珠色，表面有类似蜡质的光泽，部分可挤出乳酪状物质（软疣小体）。
部分传染性软疣可以自愈，可选择不治疗，待其自行消退；但鉴于在等待过程中，皮疹可能逐渐增多，因此，建议尽早、积极治疗。
传染性软疣去哪个科室就诊？
皮肤科、皮肤性病科。"
传染性湿疹样皮炎,"传染性湿疹样皮炎是什么病？
传染性湿疹样皮炎是一种因慢性细菌性感染病灶（常见于葡萄球菌感染）排出的分泌物刺激，使附近的皮肤发生湿疹样的改变的皮肤病。目前称其为感染性湿疹。
儿童、成人均可发生，多数患者如积极治疗原发病灶、减少其分泌物，湿疹样皮炎处外用药治疗，可缓解症状，一般预后良好。
传染性湿疹样皮炎病常见吗？
传染性湿疹样皮炎在外科病人（比如溃疡、脓疱、瘘口、慢性中耳炎、烧烫伤、开放性骨折、压疮等等）比较常见。
传染性湿疹样皮炎有传染性吗？
没有传染性。传染性湿疹样皮炎是环绕病灶周围的感染性皮炎，与分泌物、细菌毒素、病人自身较敏感等因素相关，对别人没有传染性。"
发热,范运柱小儿内科主治医师
感冒,"感冒是什么病？
感冒是由病毒引起的急性上呼吸道（鼻、咽、喉）感染的一种，常在换季和冬、春季节发病。
目前主要用来指具有打喷嚏、鼻塞、流鼻涕、浑身不舒服、咳嗽、喉咙痛、头痛、低烧等症状的综合征。
感冒属于自限性疾病，一般 5～7 天自行痊愈
，预后良好
[1,2]
。
感冒常见吗？
非常常见。幼儿平均每年发生 4～8 次感冒，成人平均每年发生 2～4 次
[1]
。
感冒、流感和上呼吸道感染有什么区别？
流感：流感是由「流感病毒」引起的「严重的」上呼吸道炎症。时常有小规模流行，病毒发生变异可能会有大规模爆发
[1]
。
上呼吸道感染：是一个更宽泛的概念，所有由病毒、细菌、真菌等病原微生物引起的上呼吸道炎症，都可以叫做上呼吸道感染，包括感冒
[1]
。"
淋病,"淋病是什么？
淋病是一种由淋病奈瑟菌（简称淋球菌）感染所致的疾病，主要通过性接触传播。一般感染尿道、宫颈、直肠、咽或结膜，导致刺激症状和化脓性改变（如排尿困难、尿急、尿频，尿道口或阴道口排出脓性分泌物），较少播散至皮肤和关节
[1]
。
淋病是男性尿道炎和女性盆腔炎、宫颈炎的一种主要病因，一般需给予相应的敏感抗生素（通过药物试验后选择）治疗，大部分人群能够治好。
淋病常见吗？
本病常见。据世界卫生组织（WHO）估计，2016 年全球感染淋病病例为 8700 万例，每年新增 1780 万例。2018 年中国报告淋病发病数为 133156 例，发病率为 9.59/10 万（每 10 万人约 10 人患本病），居法定传染病第四位
[2]
。"
尿道炎,"尿道炎是什么？
尿道是尿液从膀胱排出体外的管道，尿道炎是指因细菌、支原体、病毒等病原体侵入尿道，主要表现为排尿不适，尿道口红肿、伴有脓性分泌物等
[1]
。
主要通过药物进行抗感染治疗，同时应注重休息、多饮水。
尿道炎就是尿路感染吗？
二者不完全一样。
泌尿系统由肾脏、输尿管、膀胱、尿道构成，肾脏形成尿液后由肾盏、肾盂收集，再经由输尿管进入膀胱贮存，膀胱达到一定容量后经过尿道排出。尿液经过的通路也称为尿路，其中肾盏、肾盂、输尿管称为上尿路，膀胱、尿道称为下尿路。
所以尿路感染是肾脏、输尿管、膀胱、尿道等泌尿系各部位感染的总称，由微生物感染引起的尿道炎只是尿路感染的一部分，且属于下尿路感染
[2]
。"
发热,范运柱小儿内科主治医师
感冒,"感冒是什么病？
感冒是由病毒引起的急性上呼吸道（鼻、咽、喉）感染的一种，常在换季和冬、春季节发病。
目前主要用来指具有打喷嚏、鼻塞、流鼻涕、浑身不舒服、咳嗽、喉咙痛、头痛、低烧等症状的综合征。
感冒属于自限性疾病，一般 5～7 天自行痊愈
，预后良好
[1,2]
。
感冒常见吗？
非常常见。幼儿平均每年发生 4～8 次感冒，成人平均每年发生 2～4 次
[1]
。
感冒、流感和上呼吸道感染有什么区别？
流感：流感是由「流感病毒」引起的「严重的」上呼吸道炎症。时常有小规模流行，病毒发生变异可能会有大规模爆发
[1]
。
上呼吸道感染：是一个更宽泛的概念，所有由病毒、细菌、真菌等病原微生物引起的上呼吸道炎症，都可以叫做上呼吸道感染，包括感冒
[1]
。"
咽炎,"咽炎是什么？
咽炎是各种原因导致的咽部炎症，可单独发生，也可继发于扁桃体炎、鼻窦炎等炎症
[1]
。一般来说，咽炎可分为急性咽炎和慢性咽炎。
急性咽炎：起病急，主要表现为咽痛、咳嗽，可伴发热（体温高于 37.2 ℃）；通常使用具有杀菌作用的含漱液联合抗病毒药或抗生素进行治疗，可治愈。
慢性咽炎：反反复复，主要表现为咽部异物感、咳嗽、干呕；在治疗上，除了使用含漱液或含片外，还可通过微波、低温等离子等方法治疗，但不容易根治。
咽炎常见吗？
不管是急性咽炎还是慢性咽炎都很常见。
急性咽炎的发病率约为 5%
[2]
，也就是说，每 100 人中，就有 5 人患有急性咽炎，且多发于冬、春季，
根据国内统计，在城镇居民中，慢性咽炎约占咽喉部疾病的 10%～20%
[3]
，即每10 位咽喉疾病患者中，就有 1～2 人患有慢性咽炎。
咽炎应该去哪个科就诊？
耳鼻咽喉科、呼吸科。"
慢性咳嗽,王小燕呼吸科主治医师
急性上呼吸道感染,"上呼吸道是什么？
呼吸道包括鼻、咽、喉、气管和支气管等。通常称鼻、咽、喉为上呼吸道，气管和支气管为下呼吸道。
急性上呼吸道感染是什么？
急性上呼吸道感染简称「上感」，是指由病毒、细菌等致病微生物引起的鼻腔、咽、喉部的急性炎症。常见表现有打喷嚏、流鼻涕、咳嗽、咽喉痛、发烧等
[1，2]
。 大部分上感都是由病毒感染引起的，少数为细菌
[3]
。
一般症状不重、无需治疗，可依靠机体的抵抗力自行好转。如果症状较明显，可服用一些对症的药物治疗。
急性上呼吸道感染常见吗？
非常常见。上感是人类最常见的传染病之一，成人平均每年约感染 2～3 次，儿童平均每年感染 4～8 次，常在换季和冬、春季节发病，也可能在气候突然变化的时候流行
[3]
。
急性上呼吸道感染与普通感冒是一回事吗？
上感不是一种单一疾病，而是一组疾病，通常包括普通感冒、急性咽炎、急性喉炎、急性扁桃体炎等等
[3]
。 普通感冒可由多种病毒引起，最常见的是鼻病毒。主要表现为鼻部症状，如打喷嚏、鼻塞及流清水样涕。"
扁桃体炎,"扁桃体炎是什么？
扁桃体炎，就是当人体抵抗力下降时，病原体（如病毒和细菌）在机体大量繁殖，侵入扁桃体所引发的一种炎症
[1]
。主要表现为咽喉痛、发烧、咳嗽等症状。
扁桃体炎由于分类不同，治疗方法也不一样。急性扁桃体炎应根据病情制订治疗方案，主要以抗生素药物治疗为主；慢性扁桃体炎首先考虑保守治疗，例如局部涂药、隐窝灌洗、冷冻、激光等。如保守治疗没有好转或有全身并发症，需要手术治疗，彻底清除病灶。
扁桃体炎常见吗？
扁桃体炎是一种常见的咽部疾病，多发于儿童和青少年，但目前尚无统一的流行病学数据。
扁桃体炎分为哪几个类型？
扁桃体炎根据病程可分为急性扁桃体炎和慢性扁桃体炎
[1]
。
急性扁桃体炎发病较紧急，症状比较明显，可能会伴有发热、咽痛等。
慢性扁桃体炎是存在长期咽部不适的症状，主要有咽部异物感等。
扁桃体炎要看哪个科？
主要是看耳鼻咽喉科，儿童患者也可就诊于儿科。当然，如果不知道如何判断具体科室，普通内科、感染科、全科也都可以就诊。"
脑梗死,"脑梗死是什么病？
脑梗死，又叫「缺血性脑卒中」「脑梗」或「脑梗塞」，是指由于脑血管发生病变，大脑的血液供应发生障碍，导致局限性脑组织缺血、缺氧发生坏死或软化，迅速出现大脑功能缺损的疾病
[1]
。
脑梗死可表现为肢体麻木、口舌歪斜、偏瘫、失语、头晕、视力下降等症状，严重时还会出现意识障碍、四肢瘫痪、应激性溃疡或脑疝等症状，危及生命
[1]
。
脑梗死有病死率高和致残率高的特点
[2]
，当怀疑发生脑梗死时，一定要立即拨打 120 或送去急诊科就诊，治疗越早，治疗效果越好，死亡率以及致残率越低。
脑梗死常见吗？
常见，脑梗死是脑卒中常见类型，约占 70%
[1]
。
依据相关报道，经推算我国约有一千三百万人患有脑卒中，那么脑梗死患者的数量应该在 910 万人左右，也就是说约 155 人中就有一个人可能患有脑梗死
[3]
。
脑梗死只有老年人才会发生吗？
不是。
虽然脑梗死多发于中老年人，但有高血压、糖尿病、心脏疾病、肥胖等慢性基础疾病或长期吸烟酗酒的年轻人也很有可能发生脑梗死
[1]
。
脑梗死可分为哪几个类型？
医生通常根据疾病的原因，把脑梗死进行区分，以便于进行更精准的治疗。通常采用「TOAST 分型」，具体如下
[1]
：
大动脉粥样硬化型：大动脉闭塞或狭窄，血流减少，导致脑组织缺血，发生坏死。
心源性栓塞型：心源性栓子脱落后随血流进入脑动脉，阻塞血管，导致脑梗死，常由心房颤动、心房扑动、感染性心内膜炎、心脏瓣膜病等疾病引起。
小动脉闭塞型：大脑的小穿通动脉的血管壁病变，导致管腔闭塞，发生动脉供血区脑组织梗死。
其它明确病因型：指除了以上三种明确的疾病分型外，其它少见的病因如血管畸形、肌纤维营养不良、夹层动脉瘤、血管炎等也可能引起脑组织缺氧，从而导致脑梗死。
不明原因型：这一类型脑梗死患者经多方检查未能发现明确病因或存在两种及以上的病因，不能确诊。
脑梗死应该看哪个科？
神经内科、神经外科、急诊科。
如果出现轻微的头昏、肢体麻木并在几分钟内缓解，应及时去神经内科、神经外科就诊；如果出现头晕、头痛、呕吐、偏瘫、失语、单侧或双侧视力障碍等症状应立即去急诊科治疗。"
中暑,"中暑是指什么？
中暑，是指高温环境下由于热平衡或水盐代谢紊乱等，而引起的一种以中枢神经系统和心血管系统障碍为主要表现的急性疾病。
根据严重程度，中暑可分为先兆中暑、轻症中暑、重症中暑。
轻度中暑的患者及时送医治疗后病情都能好转，且不会有后遗症。
中暑在哪些情况下会出现？
气温过高、湿度大、风速小、体弱、对热不适应、劳动强度过大和时间过长、过度疲劳等都易诱发中暑。
重症中暑有哪几种情况？
中暑高热（又称热射病）
为一种可致命的急症，以中枢神经系统症状和高热为主要表现。
在高温环境中从事体力劳动的时间较长的人群，由于体温调节中枢功能失调，散热困难，体内积热过多，可能引发头痛、头晕、口渴等不适；同时出现体温迅速升高、脉搏加快、面部发红，昏迷等危险表现。
通常患者体温多在 40 摄氏度以上。
中暑衰竭（又称热衰竭）
多以大量出汗引发血容量不足、休克为主要特征。起病较急，先有眩晕、头痛、突然昏倒。
患者面色苍白，皮肤湿冷，脉搏细弱，血压降低，呼吸快而浅，神志不清。
常常发生于老年人及一时未能适应高温的人。
中暑痉挛（又称热痉挛）
多发生于大量出汗及口渴、饮水多而盐分补充不足致血中氯化钠浓度急速明显降低时。
人在高温环境中，身体会大量出汗，丢失大量盐分，使血液中的钠含量过低，引起腿部甚至四肢及全身的肌肉痉挛。
多见于健康的青壮年，通常患者体温正常。"
阿尔茨海默病,"阿尔茨海默病是一种什么病？
阿尔茨海默病（Alzheimer's disease，AD）是一种缓慢起病并进行性发展的神经系统退行性病变
[1]
。
多见于老年人，是老年人痴呆的首要病因，临床上以记忆力减退、智能下降以及性格和行为模式改变为特征。晚期可完全丧失独立生活能力。
阿尔茨海默病患者可能因为患病而感到羞愧、自责，出现很多负面情绪。此时更需要家人和朋友的理解与关爱来帮助他们走出精神困境
[1,2]
。
阿尔茨海默病的患病人群多吗？
世界卫生组织（WHO）估计全球 65 岁以上老年人群中阿尔茨海默病（AD）患病率为 4%～7%，也就是说，100 名 65 岁的老年中有 4～7 人可能患阿尔茨海默病，占所有痴呆原因的 60%～80%。且随着年龄而增长，平均每增加 6.1 岁，AD 患病率增加 1 倍
[3]
。
在 85 岁以上的老年人群中，AD 的患病率可高达 20%～30%，据推算我国目前约有 AD 患者 600 多万，预计 2050 年将超过 2000 万
[3]
。
阿尔茨海默病的发病年龄和性别有什么特点？
阿尔茨海默病多见于 70 岁以上（男性平均 73 岁，女性为 75 岁）老人，亦可在 50 岁以后发病，少数病人在躯体疾病、骨折或精神受到刺激后症状迅速明显化。女性较男性多，女∶男约为 3∶1
[4,5]
。
阿尔茨海默病跟老年痴呆是什么关系？
阿尔茨海默病是老年人罹患痴呆的主要类型。老年痴呆是一个比较笼统的描述性称谓，在专科医生眼中，绝大多数人所指的老年痴呆就是阿尔茨海默病。
由于老年痴呆是个俗称，无论治疗、研究还是对公众宣教，都要费很多不必要的口舌，容易引起困扰。更关键的是，「痴呆」带有一定贬义色彩，患者因此有「病耻感」、自卑心理，讳疾忌医，逃避就诊、治疗，不利于早发现早治疗。
阿尔茨海默病应该去哪个科室就诊？
神经内科。"
